year,team_id,team_name,wins,losses,ties,total_games
2019,26172,A&M-Corpus Christi,14,18,0,32
2019,2,Abilene Christian,27,7,0,34
2019,30123,Academy of Art,11,17,0,28
2019,929,Adams St.,11,17,0,28
2019,3,Adelphi,19,10,0,29
2019,4,Adrian,6,19,0,25
2019,721,Air Force,14,18,0,32
2019,5,Akron,17,16,0,33
2019,10,Alabama Huntsville,24,8,0,32
2019,8,Alabama,18,16,0,34
2019,6,Alabama A&M,5,27,0,32
2019,7,Alabama St.,12,19,0,31
2019,11,Alas. Anchorage,14,15,0,29
2019,12,Alas. Fairbanks,6,22,0,28
2019,14,Albany (NY),12,20,0,32
2019,13,Albany St. (GA),14,16,0,30
2019,2798,Albertus Magnus,20,8,0,28
2019,15,Albion,19,9,0,28
2019,16,Albright,9,17,0,26
2019,17,Alcorn,10,21,0,31
2019,934,Alderson Broaddus,13,16,0,29
2019,18,Alfred,24,5,0,29
2019,30170,Alfred St.,15,12,0,27
2019,19,Allegheny,10,15,0,25
2019,21,Alma,5,22,0,27
2019,938,Alvernia,11,14,0,25
2019,23,American,15,15,0,30
2019,22,American Int'l,11,17,0,28
2019,24,Amherst,25,5,0,30
2019,939,Anderson (IN),11,15,0,26
2019,13028,Anderson (SC),16,13,0,29
2019,25,Angelo St.,22,10,0,32
2019,26,Anna Maria,7,18,0,25
2019,27,App State,11,21,0,32
2019,966,Arcadia,23,6,0,29
2019,29,Arizona,17,15,0,32
2019,28,Arizona St.,23,11,0,34
2019,30105,Ark.-Fort Smith,10,19,0,29
2019,8411,Ark.-Monticello,16,14,0,30
2019,2678,Ark.-Pine Bluff,13,19,0,32
2019,31,Arkansas,18,16,0,34
2019,30,Arkansas St.,13,19,0,32
2019,947,Arkansas Tech,12,16,0,28
2019,725,Army West Point,13,19,0,32
2019,35,Ashland,23,7,0,30
2019,36,Assumption,8,20,0,28
2019,37,Auburn,30,10,0,40
2019,38,Augsburg,19,9,0,28
2019,39,Augusta,28,6,0,34
2019,40,Augustana (IL),26,4,0,30
2019,41,Augustana (SD),18,11,0,29
2019,30093,AUM,8,20,0,28
2019,42,Aurora,17,12,0,29
2019,953,Austin,8,17,0,25
2019,43,Austin Peay,22,11,0,33
2019,44,Averett,9,18,0,27
2019,30146,Azusa Pacific,20,11,0,31
2019,45,Babson,15,11,0,26
2019,46,Baldwin Wallace,21,9,0,30
2019,47,Ball St.,16,17,0,33
2019,962,Bard,13,13,0,26
2019,49,Barry,18,11,0,29
2019,15646,Barton,22,8,0,30
2019,58,Baruch,22,6,0,28
2019,50,Bates,7,17,0,24
2019,51,Baylor,20,14,0,34
2019,26107,Becker,7,18,0,25
2019,30197,Belhaven,9,17,0,26
2019,52,Bellarmine,28,5,0,33
2019,14927,Belmont,27,6,0,33
2019,2683,Belmont Abbey,23,8,0,31
2019,53,Beloit,8,17,0,25
2019,54,Bemidji St.,10,20,0,30
2019,55,Benedict,4,24,0,28
2019,296,Benedictine (IL),13,14,0,27
2019,56,Bentley,19,10,0,29
2019,30171,Berea,11,15,0,26
2019,973,Berry,19,7,0,26
2019,59,Bethany (WV),5,20,0,25
2019,30038,Bethany Lutheran,18,9,0,27
2019,60,Bethel (MN),19,8,0,27
2019,61,Bethune-Cookman,14,17,0,31
2019,62,Binghamton,10,23,0,33
2019,30220,Biola,15,13,0,28
2019,28593,Birmingham-So.,12,14,0,26
2019,30134,Black Hills St.,18,11,0,29
2019,64,Blackburn,13,15,0,28
2019,984,Bloomfield,21,10,0,31
2019,65,Bloomsburg,7,19,0,26
2019,985,Bluefield St.,9,17,0,26
2019,987,Bluffton,17,9,0,26
2019,66,Boise St.,13,20,0,33
2019,67,Boston College,14,17,0,31
2019,68,Boston U.,15,18,0,33
2019,69,Bowdoin,15,9,0,24
2019,70,Bowie St.,17,13,0,30
2019,71,Bowling Green,22,12,0,34
2019,72,Bradley,20,15,0,35
2019,73,Brandeis,18,11,0,29
2019,30094,Brevard,5,22,0,27
2019,74,Bridgeport,18,13,0,31
2019,75,Bridgewater (VA),12,15,0,27
2019,76,Bridgewater St.,9,18,0,27
2019,78,SUNY Brockport,17,11,0,28
2019,79,Brooklyn,15,13,0,28
2019,80,Brown,20,12,0,32
2019,81,Bryant,10,20,0,30
2019,30188,Bryn Athyn,6,20,0,26
2019,83,Bucknell,21,12,0,33
2019,84,Buena Vista,11,16,0,27
2019,86,Buffalo,32,4,0,36
2019,85,Buffalo St.,8,16,0,24
2019,87,Butler,16,17,0,33
2019,77,BYU,19,13,0,32
2019,88,Cabrini,6,20,0,26
2019,1305,Cairn,18,10,0,28
2019,105,Cal Lutheran,7,20,0,27
2019,90,Cal Poly,6,23,0,29
2019,91,Cal Poly Pomona,21,7,0,28
2019,92,Cal St. Dom. Hills,14,16,0,30
2019,98,Cal St. East Bay,22,8,0,30
2019,97,Cal St. Fullerton,16,18,0,34
2019,100,Cal State LA,18,12,0,30
2019,30055,Cal St. Monterey Bay,2,25,0,27
2019,93,Cal St. San B'dino,15,14,0,29
2019,30198,Cal St. San Marcos,9,20,0,29
2019,995,Caldwell,17,12,0,29
2019,107,California,8,23,0,31
2019,106,Cal U (PA),8,19,0,27
2019,30135,California Baptist,16,15,0,31
2019,89,Caltech,10,16,0,26
2019,114,Calvin,14,14,0,28
2019,996,Cameron,9,20,0,29
2019,115,Campbell,20,13,0,33
2019,116,Canisius,15,17,0,32
2019,117,Capital,21,8,0,29
2019,118,Carleton,7,18,0,25
2019,119,Carnegie Mellon,11,15,0,26
2019,120,Carroll (WI),11,15,0,26
2019,1000,Carson-Newman,15,14,0,29
2019,121,Carthage,8,17,0,25
2019,123,Castleton,3,22,0,25
2019,1001,Catawba,25,8,0,33
2019,124,Catholic,10,15,0,25
2019,23624,Cazenovia,13,12,0,25
2019,480,CCNY,5,21,0,26
2019,30124,Cedarville,21,14,0,35
2019,125,Centenary (LA),13,15,0,28
2019,12884,Centenary (NJ),12,15,0,27
2019,126,Central (IA),8,17,0,25
2019,1004,Central Ark.,14,19,0,33
2019,127,Central Conn. St.,11,20,0,31
2019,129,Central Mich.,23,12,0,35
2019,130,Central Mo.,14,14,0,28
2019,1009,Central Okla.,11,17,0,28
2019,30049,Central St. (OH),6,24,0,30
2019,1010,Central Wash.,11,18,0,29
2019,132,Centre,23,5,0,28
2019,1012,Chadron St.,12,16,0,28
2019,133,Chaminade,23,8,0,31
2019,134,Chapman,11,15,0,26
2019,1013,Charleston (WV),20,9,0,29
2019,48,Charleston So.,18,16,0,34
2019,458,Charlotte,8,21,0,29
2019,10972,Chatham,19,10,0,29
2019,693,Chattanooga,12,20,0,32
2019,21323,Chestnut Hill,3,25,0,28
2019,137,Chicago,15,10,0,25
2019,136,Chicago St.,3,29,0,32
2019,95,Chico St.,9,14,0,23
2019,8875,Chowan,12,15,0,27
