year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12260	4	Adrian	05	1413728	Jackson, Rickey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1413728	Sr	G	6-3	25	22	629:00	79	219	36.07	47	136	34.56	29	30	96.67	234	9.36	21	66	87	3.48	26	29	20	5	47	""	""	1
2016	12260	4	Adrian	11	1744557	Johnson, Travon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1744557	Fr	G	6-1	25	13	503:00	54	122	44.26	8	20	40.00	35	57	61.40	151	6.04	21	36	57	2.28	69	42	17	3	40	""	""	2
2016	12260	4	Adrian	24	1744560	Bryant, Venson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1744560	Jr	G	6-2	25	5	359:00	34	82	41.46	2	4	50.00	21	35	60.00	91	3.64	33	36	69	2.76	21	17	13	1	45	""	""	1
2016	12260	4	Adrian	1	1744554	Covile, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1744554	Sr	G	6-4	25	25	761:00	193	381	50.66	43	97	44.33	90	132	68.18	519	20.76	56	149	205	8.20	43	66	34	12	69	9	""	1
2016	12260	4	Adrian	33	1744562	Crofford, Isiah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1744562	Fr	F	6-6	24	21	485:00	46	89	51.69	""	""	""	13	46	28.26	105	4.38	49	49	98	4.08	16	21	14	24	64	""	""	""
2016	12260	4	Adrian	35	1413726	Rodak, Ben	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1413726	Sr	F	6-4	24	5	535:00	43	131	32.82	32	99	32.32	14	16	87.50	132	5.50	22	67	89	3.71	28	20	12	6	48	""	""	""
2016	12260	4	Adrian	10	1629475	Henry, Ken	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1629475	So	F	6-3	23	9	288:00	14	37	37.84	""	""	""	12	29	41.38	40	1.74	13	19	32	1.39	9	16	7	2	46	""	""	""
2016	12260	4	Adrian	15	1744559	Cannon, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1744559	So	F	6-3	22	4	425:00	67	114	58.77	5	16	31.25	24	45	53.33	163	7.41	32	45	77	3.50	33	24	10	5	71	""	""	3
2016	12260	4	Adrian	4	1640165	Denham, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1640165	Sr	G	6-0	22	7	408:00	38	102	37.25	18	55	32.73	7	12	58.33	101	4.59	11	23	34	1.55	31	13	7	""	34	""	""	""
2016	12260	4	Adrian	03	1744556	Harris, Devonte	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1744556	Jr	G	6-0	14	12	416:00	83	171	48.54	38	83	45.78	28	35	80.00	232	16.57	12	45	57	4.07	47	35	9	""	17	""	""	""
2016	12260	4	Adrian	32	1629481	Harp, R'Mand	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1629481	Sr	G	6-0	11	1	65:00	8	19	42.11	2	4	50.00	1	2	50.00	19	1.73	5	9	14	1.27	2	5	2	2	6	""	""	""
2016	12260	4	Adrian	2	1744555	Merrick, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1744555	Jr	C	6-5	8	1	70:00	5	11	45.45	""	""	""	8	11	72.73	18	2.25	10	5	15	1.88	1	5	""	""	13	""	""	""
2016	12260	4	Adrian	20	1639787	Horton, Anton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1639787	So	F	6-3	7	0	29:00	""	3	""	""	""	""	""	""	""	""	""	""	1	1	0.14	1	3	""	""	11	""	""	""
2016	12260	4	Adrian	14	1629478	Lesniak, Joey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1629478	So	G	6-4	5	0	42:00	1	5	20.00	""	1	0.00	""	1	0.00	2	0.40	3	4	7	1.40	2	1	1	1	11	""	""	""
2016	12260	4	Adrian	20	1762255	Gold, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1762255	N/A	""	-	3	0	4:00	""	1	""	""	""	""	""	""	""	""	""	1	""	1	0.33	""	""	""	""	""	""	""	""
2016	12260	4	Adrian	02	1762733	Bressler, Dylan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1762733	N/A	""	-	3	0	4:00	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12260	2798	Albertus Magnus	23	1625019	Walters, Jaqhawn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1625019	So	F	6-6	26	26	928:00	166	354	46.89	12	35	34.29	70	111	63.06	414	15.92	81	196	277	10.65	100	75	25	18	66	15	""	4
2016	12260	2798	Albertus Magnus	1	1735465	Pittman, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1735465	Fr	G	5-10	26	22	668:00	62	137	45.26	24	58	41.38	47	75	62.67	195	7.50	17	58	75	2.88	88	67	22	5	81	""	""	3
2016	12260	2798	Albertus Magnus	24	1735464	Lovell, Shontaey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1735464	Fr	F	6-5	26	23	699:00	173	257	67.32	""	""	""	117	179	65.36	463	17.81	135	175	310	11.92	35	50	32	44	86	17	""	6
2016	12260	2798	Albertus Magnus	35	1625021	Langston, Erick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12260&stats_player_seq=1625021	So	G	6-3	25	1	255:00	32	60	53.33	7	21	33.33	13	20	65.00	84	3.36	16	43	59	2.36	17	15	4	2	60	""	""	3
