year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	position	height	class_year	games_played	games_started
2012	10740	4	Adrian	3	1079568.0	Barnes, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1079568.0	G	5-10	Jr	22	12
2012	10740	4	Adrian	15	1294061.0	Bywater, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1294061.0	G	6-0	Fr	1	0
2012	10740	4	Adrian	5	1079570.0	Collins, Delano	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1079570.0	G	5-11	Jr	24	23
2012	10740	4	Adrian	33	1079571.0	Gallant, Sean	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1079571.0	F	6-5	Jr	26	26
2012	10740	4	Adrian	21	1190842.0	Gordon, Curtis	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1190842.0	G	5-10	So	20	1
2012	10740	4	Adrian	15	1300857.0	Hemingway, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1300857.0	""	-	N/A	1	0
2012	10740	4	Adrian	34	1294065.0	Hohman, Brad	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1294065.0	F	6-5	Fr	22	2
2012	10740	4	Adrian	25	1300855.0	Keiswetter, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1300855.0	""	-	N/A	1	0
2012	10740	4	Adrian	10	1294059.0	Kil, Benjamin	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1294059.0	G	6-0	Fr	5	0
2012	10740	4	Adrian	24	1298830.0	King, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1298830.0	""	-	N/A	3	0
2012	10740	4	Adrian	25	1294063.0	Leventis, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=10740&stats_player_seq=1294063.0	F	6-4	Fr	1	0
