year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12480	26172	A&M-Corpus Christi	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	39	64	103	2.86	""	8	""	""	1	""	""	""
2017	12480	26172	A&M-Corpus Christi	-	Totals	-	-	-	-	-	7277:00	974	2,070	47.05	195	587	33.22	572	792	72.22	2,715	75.42	368	860	1,228	34.11	486	485	337	142	704	""	""	16
2017	12480	26172	A&M-Corpus Christi	-	Opponent Totals	-	-	-	-	-	7276:00	874	1,995	43.81	285	828	34.42	541	790	68.48	2,574	71.50	392	860	1,252	34.78	473	587	255	96	741	""	""	25
2017	12480	2	Abilene Christian	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	30	41	71	2.54	""	4	""	""	""	""	""	""
2017	12480	2	Abilene Christian	-	Totals	-	-	-	-	-	5901:00	721	1,555	46.37	207	550	37.64	360	544	66.18	2,009	69.28	222	683	905	31.21	408	412	210	83	631	""	""	17
2017	12480	2	Abilene Christian	-	Opponent Totals	-	-	-	-	-	5899:00	708	1,556	45.50	210	581	36.14	447	671	66.62	2,073	71.48	299	716	1,015	35.00	393	428	178	88	502	""	""	13
2017	12480	721	Air Force	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	52	46	98	3.06	""	9	""	""	""	""	""	""
2017	12480	721	Air Force	-	Totals	-	-	-	-	-	6677:00	817	1,876	43.55	264	728	36.26	513	715	71.75	2,411	73.06	310	840	1,150	34.85	494	396	197	57	594	""	""	16
2017	12480	721	Air Force	-	Opponent Totals	-	-	-	-	-	6671:00	861	1,883	45.72	320	880	36.36	435	613	70.96	2,477	75.06	275	860	1,135	34.39	514	407	199	113	686	""	""	17
2017	12480	5	Akron 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	54	58	112	3.11	""	7	""	""	1	""	""	""
2017	12480	5	Akron 	-	Totals	-	-	-	-	-	7200:00	949	2,036	46.61	366	985	37.16	508	744	68.28	2,772	77.00	357	889	1,246	34.61	517	422	198	118	654	""	""	15
2017	12480	5	Akron 	-	Opponent Totals	-	-	-	-	-	7200:00	913	2,058	44.36	249	683	36.46	475	673	70.58	2,550	70.83	349	839	1,188	33.00	411	415	210	72	673	""	""	23
2017	12480	8	Alabama 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	53	54	107	3.15	""	16	""	""	1	""	""	""
2017	12480	8	Alabama 	-	Totals	-	-	-	-	-	6900:00	809	1,910	42.36	225	710	31.69	487	746	65.28	2,330	68.53	418	908	1,326	39.00	390	474	200	141	665	""	""	16
2017	12480	8	Alabama 	-	Opponent Totals	-	-	-	-	-	6900:00	748	1,848	40.48	209	627	33.33	495	738	67.07	2,200	64.71	329	808	1,137	33.44	325	460	215	100	665	""	""	14
2017	12480	6	Alabama A&M	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	4	0.14	64	46	110	3.79	""	9	""	""	""	""	""	""
2017	12480	6	Alabama A&M	-	Totals	-	-	-	-	-	5876:00	628	1,563	40.18	125	457	27.35	409	614	66.61	1,794	61.86	299	634	933	32.17	330	384	103	52	526	""	""	9
2017	12480	6	Alabama A&M	-	Opponent Totals	-	-	-	-	-	5874:00	822	1,736	47.35	214	590	36.27	397	583	68.10	2,255	77.76	362	716	1,078	37.17	423	272	204	111	533	""	""	8
2017	12480	7	Alabama St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	72	59	131	4.23	""	19	""	""	""	""	""	""
2017	12480	7	Alabama St.	-	Totals	-	-	-	-	-	6301:00	719	1,834	39.20	200	674	29.67	404	634	63.72	2,042	65.87	427	765	1,192	38.45	300	488	150	98	630	""	""	10
2017	12480	7	Alabama St.	-	Opponent Totals	-	-	-	-	-	6300:00	798	1,799	44.36	196	572	34.27	513	755	67.95	2,305	74.35	363	810	1,173	37.84	392	392	230	93	568	""	""	8
2017	12480	14	Albany (NY)	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	70	57	127	3.63	""	14	""	""	1	""	""	""
2017	12480	14	Albany (NY)	-	Totals	-	-	-	-	-	7001:00	907	1,941	46.73	192	516	37.21	490	647	75.73	2,496	71.31	379	878	1,257	35.91	444	416	178	60	618	""	""	17
2017	12480	14	Albany (NY)	-	Opponent Totals	-	-	-	-	-	7002:00	808	1,873	43.14	276	809	34.12	409	578	70.76	2,301	65.74	266	742	1,008	28.80	442	399	197	146	630	""	""	11
2017	12480	17	Alcorn	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	57	72	129	4.03	""	12	""	""	""	""	""	""
2017	12480	17	Alcorn	-	Totals	-	-	-	-	-	6424:00	800	1,866	42.87	222	669	33.18	399	612	65.20	2,221	69.41	387	856	1,243	38.84	425	452	209	113	610	""	""	5
2017	12480	17	Alcorn	-	Opponent Totals	-	-	-	-	-	6424:00	768	1,837	41.81	181	592	30.57	458	707	64.78	2,175	67.97	370	803	1,173	36.66	424	418	220	82	556	""	""	10
2017	12480	23	American	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	30	36	66	2.20	""	14	""	""	1	""	""	""
2017	12480	23	American	-	Totals	-	-	-	-	-	6026:00	692	1,542	44.88	168	529	31.76	293	474	61.81	1,845	61.50	204	664	868	28.93	339	396	209	73	549	""	""	18
2017	12480	23	American	-	Opponent Totals	-	-	-	-	-	6027:00	716	1,528	46.86	172	468	36.75	445	632	70.41	2,049	68.30	258	738	996	33.20	384	396	198	84	493	""	""	8
2017	12480	27	Appalachian St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	55	46	101	3.37	""	11	""	""	1	""	""	""
2017	12480	27	Appalachian St.	-	Totals	-	-	-	-	-	6025:00	749	1,783	42.01	251	744	33.74	459	674	68.10	2,208	73.60	339	787	1,126	37.53	414	414	167	91	643	""	""	19
2017	12480	27	Appalachian St.	-	Opponent Totals	-	-	-	-	-	6026:00	788	1,717	45.89	194	515	37.67	509	742	68.60	2,279	75.97	285	812	1,097	36.57	394	382	180	105	621	""	""	15
2017	12480	29	Arizona 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	60	45	105	2.84	""	10	""	""	""	""	""	""
2017	12480	29	Arizona 	-	Totals	-	-	-	-	-	7400:00	977	2,048	47.71	244	625	39.04	635	830	76.51	2,833	76.57	380	977	1,357	36.68	501	413	201	119	625	""	""	7
2017	12480	29	Arizona 	-	Opponent Totals	-	-	-	-	-	7400:00	893	2,121	42.10	239	771	31.00	415	607	68.37	2,440	65.95	344	762	1,106	29.89	476	432	175	109	730	""	""	11
2017	12480	28	Arizona St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	46	60	106	3.21	""	13	""	""	2	""	""	""
2017	12480	28	Arizona St.	-	Totals	-	-	-	-	-	6625:00	888	2,047	43.38	328	896	36.61	489	653	74.89	2,593	78.58	304	773	1,077	32.64	430	344	194	106	558	""	""	16
2017	12480	28	Arizona St.	-	Opponent Totals	-	-	-	-	-	6625:00	978	2,041	47.92	304	835	36.41	435	611	71.19	2,695	81.67	367	944	1,311	39.73	621	439	171	130	604	""	""	14
2017	12480	2678	Ark.-Pine Bluff	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	48	64	112	3.50	""	9	""	""	""	""	""	""
2017	12480	2678	Ark.-Pine Bluff	-	Totals	-	-	-	-	-	6524:00	695	1,725	40.29	208	621	33.49	379	581	65.23	1,977	61.78	335	678	1,013	31.66	334	578	279	93	718	""	""	13
2017	12480	2678	Ark.-Pine Bluff	-	Opponent Totals	-	-	-	-	-	6525:00	731	1,631	44.82	207	651	31.80	651	920	70.76	2,320	72.50	364	789	1,153	36.03	432	535	305	93	528	""	""	7
2017	12480	31	Arkansas 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	59	53	112	3.11	""	5	""	""	1	""	""	""
2017	12480	31	Arkansas 	-	Totals	-	-	-	-	-	7200:00	997	2,166	46.03	233	638	36.52	628	825	76.12	2,855	79.31	401	896	1,297	36.03	501	428	278	172	740	""	""	10
2017	12480	31	Arkansas 	-	Opponent Totals	-	-	-	-	-	7200:00	901	2,158	41.75	263	792	33.21	594	843	70.46	2,659	73.86	466	854	1,320	36.67	453	477	187	119	672	""	""	12
2017	12480	30	Arkansas St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	78	51	129	4.03	""	19	""	""	""	""	""	""
2017	12480	30	Arkansas St.	-	Totals	-	-	-	-	-	6425:00	826	1,792	46.09	220	579	38.00	474	743	63.80	2,346	73.31	352	814	1,166	36.44	397	414	172	83	653	""	""	17
2017	12480	30	Arkansas St.	-	Opponent Totals	-	-	-	-	-	6425:00	760	1,756	43.28	195	618	31.55	496	725	68.41	2,211	69.09	306	767	1,073	33.53	411	421	181	125	656	""	""	11
2017	12480	725	Army West Point	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	57	64	121	3.78	""	5	""	""	""	""	""	""
2017	12480	725	Army West Point	-	Totals	-	-	-	-	-	6475:00	842	1,908	44.13	291	825	35.27	349	533	65.48	2,324	72.62	317	896	1,213	37.91	519	483	178	61	621	""	""	12
2017	12480	725	Army West Point	-	Opponent Totals	-	-	-	-	-	6475:00	839	1,907	44.00	220	666	33.03	442	641	68.95	2,340	73.12	276	850	1,126	35.19	434	407	238	124	547	""	""	6
2017	12480	37	Auburn	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	61	61	122	3.81	""	5	""	""	4	""	""	""
2017	12480	37	Auburn	-	Totals	-	-	-	-	-	6450:00	861	1,969	43.73	289	789	36.63	562	836	67.22	2,573	80.41	369	802	1,171	36.59	421	434	236	162	672	""	""	8
2017	12480	37	Auburn	-	Opponent Totals	-	-	-	-	-	6450:00	861	1,972	43.66	273	765	35.69	551	765	72.03	2,546	79.56	400	848	1,248	39.00	436	482	197	94	725	""	""	22
2017	12480	43	Austin Peay	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	39	29	68	2.27	""	9	""	""	""	""	""	""
2017	12480	43	Austin Peay	-	Totals	-	-	-	-	-	6075:00	806	1,718	46.92	227	640	35.47	492	695	70.79	2,331	77.70	245	668	913	30.43	324	373	171	73	547	""	""	15
2017	12480	43	Austin Peay	-	Opponent Totals	-	-	-	-	-	6075:00	922	1,877	49.12	264	714	36.97	407	558	72.94	2,515	83.83	364	758	1,122	37.40	473	407	167	85	616	""	""	19
